,Bios,Movies,TV,Religion,Music,Sports,Books,Politics,Bigrams
0,"['typical', 'twitter', 'fanatic', 'infuriatingly', 'humble', 'thinker', 'lifelong', 'coffee', 'practitioner', 'organizer']",5,3,4,1,3,6,7,"[('coffee', 'practitioner'), ('fanatic', 'infuriatingly'), ('humble', 'thinker'), ('infuriatingly', 'humble'), ('lifelong', 'coffee'), ('practitioner', 'organizer'), ('thinker', 'lifelong'), ('twitter', 'fanatic'), ('typical', 'twitter')]"
1,"['web', 'junkie', 'analyst', 'infuriatingly', 'humble', 'introvert', 'food', 'nerd', 'lifelong', 'music', 'fanatic', 'coffee', 'lover']",7,9,5,1,9,4,0,"[('analyst', 'infuriatingly'), ('coffee', 'lover'), ('fanatic', 'coffee'), ('food', 'nerd'), ('humble', 'introvert'), ('infuriatingly', 'humble'), ('introvert', 'food'), ('junkie', 'analyst'), ('lifelong', 'music'), ('music', 'fanatic'), ('nerd', 'lifelong'), ('web', 'junkie')]"
2,"['avid', 'web', 'maven', 'food', 'practitioner', 'gamer', 'twitter', 'fanatic', 'pop', 'culture', 'scholar', 'zombie', 'evangelist']",1,2,6,5,6,5,4,"[('avid', 'web'), ('culture', 'scholar'), ('fanatic', 'pop'), ('food', 'practitioner'), ('gamer', 'twitter'), ('maven', 'food'), ('pop', 'culture'), ('practitioner', 'gamer'), ('scholar', 'zombie'), ('twitter', 'fanatic'), ('web', 'maven'), ('zombie', 'evangelist')]"
3,"['twitteraholic', 'extreme', 'web', 'fanatic', 'food', 'buff', 'infuriatingly', 'humble', 'entrepreneur']",5,2,7,8,2,6,6,"[('buff', 'infuriatingly'), ('extreme', 'web'), ('fanatic', 'food'), ('food', 'buff'), ('humble', 'entrepreneur'), ('infuriatingly', 'humble'), ('twitteraholic', 'extreme'), ('web', 'fanatic')]"
4,"['bacon', 'enthusiast', 'fall', 'lot', 'freelance', 'social', 'medium', 'fan', 'infuriatingly', 'humble', 'introvert']",6,6,6,4,3,6,3,"[('bacon', 'enthusiast'), ('enthusiast', 'fall'), ('fall', 'lot'), ('fan', 'infuriatingly'), ('freelance', 'social'), ('humble', 'introvert'), ('infuriatingly', 'humble'), ('lot', 'freelance'), ('medium', 'fan'), ('social', 'medium')]"
5,"['pop', 'culture', 'junkie', 'tv', 'buff', 'reader', 'friendly', 'travel', 'expert', 'incurable', 'twitteraholic', 'social', 'medium', 'ninja', 'coffee', 'enthusiast', 'internet', 'specialist']",0,5,7,5,9,2,0,"[('buff', 'reader'), ('coffee', 'enthusiast'), ('culture', 'junkie'), ('enthusiast', 'internet'), ('expert', 'incurable'), ('friendly', 'travel'), ('incurable', 'twitteraholic'), ('internet', 'specialist'), ('junkie', 'tv'), ('medium', 'ninja'), ('ninja', 'coffee'), ('pop', 'culture'), ('reader', 'friendly'), ('social', 'medium'), ('travel', 'expert'), ('tv', 'buff'), ('twitteraholic', 'social')]"
6,"['typical', 'thinker', 'amateur', 'explorer', 'reader', 'extreme', 'student', 'tv', 'fanatic', 'social', 'medium', 'ninja']",5,4,7,5,0,8,4,"[('amateur', 'explorer'), ('explorer', 'reader'), ('extreme', 'student'), ('fanatic', 'social'), ('medium', 'ninja'), ('reader', 'extreme'), ('social', 'medium'), ('student', 'tv'), ('thinker', 'amateur'), ('tv', 'fanatic'), ('typical', 'thinker')]"
7,"['zombie', 'maven', 'travel', 'geek', 'professional', 'social', 'medium', 'buff', 'avid', 'pop', 'culture', 'lover']",9,8,8,2,0,0,5,"[('avid', 'pop'), ('buff', 'avid'), ('culture', 'lover'), ('geek', 'professional'), ('maven', 'travel'), ('medium', 'buff'), ('pop', 'culture'), ('professional', 'social'), ('social', 'medium'), ('travel', 'geek'), ('zombie', 'maven')]"
8,"['lifelong', 'introvert', 'general', 'travel', 'maven', 'hipster-friendly', 'web', 'trailblazer', 'writer', 'alcohol', 'fan', 'student', 'communicator', 'coffee', 'guru']",8,8,2,6,1,2,9,"[('alcohol', 'fan'), ('coffee', 'guru'), ('communicator', 'coffee'), ('fan', 'student'), ('general', 'travel'), ('hipster-friendly', 'web'), ('introvert', 'general'), ('lifelong', 'introvert'), ('maven', 'hipster-friendly'), ('student', 'communicator'), ('trailblazer', 'writer'), ('travel', 'maven'), ('web', 'trailblazer'), ('writer', 'alcohol')]"
9,"['travel', 'ninja', 'amateur', 'pop', 'culture', 'evangelist', 'web', 'fanatic', 'freelance', 'communicator', 'zombie', 'geek']",9,0,2,2,5,6,8,"[('amateur', 'pop'), ('communicator', 'zombie'), ('culture', 'evangelist'), ('evangelist', 'web'), ('fanatic', 'freelance'), ('freelance', 'communicator'), ('ninja', 'amateur'), ('pop', 'culture'), ('travel', 'ninja'), ('web', 'fanatic'), ('zombie', 'geek')]"
