,Bios,Movies,TV,Religion,Music,Sports,Books,Politics
0,Typical twitter fanatic. Infuriatingly humble thinker. Lifelong coffee practitioner. Organizer.,5,3,4,1,3,6,7
1,Web junkie. Analyst. Infuriatingly humble introvert. Food nerd. Lifelong music fanatic. Coffee lover.,7,9,5,1,9,4,0
2,Avid web maven. Food practitioner. Gamer. Twitter fanatic. Pop culture scholar. Zombie evangelist.,1,2,6,5,6,5,4
3,Twitteraholic. Extreme web fanatic. Food buff. Infuriatingly humble entrepreneur.,5,2,7,8,2,6,6
4,Bacon enthusiast. Falls down a lot. Freelance social media fan. Infuriatingly humble introvert.,6,6,6,4,3,6,3
5,Pop culture junkie. Tv buff. Reader. Friendly travel expert. Incurable twitteraholic. Social media ninja. Coffee enthusiast. Internet specialist.,0,5,7,5,9,2,0
6,Typical thinker. Amateur explorer. Reader. Extreme student. Tv fanatic. Social media ninja.,5,4,7,5,0,8,4
7,Zombie maven. Travel geek. Professional social media buff. Avid pop culture lover.,9,8,8,2,0,0,5
8,Lifelong introvert. General travel maven. Hipster-friendly web trailblazer. Writer. Alcohol fan. Student. Communicator. Coffee guru.,8,8,2,6,1,2,9
9,Travel ninja. Amateur pop culture evangelist. Web fanatic. Freelance communicator. Zombie geek.,9,0,2,2,5,6,8
10,Tv specialist. Professional coffee scholar. Introvert. Thinker. Creator. Travel advocate.,9,2,3,4,4,9,4
11,Twitter guru. Food aficionado. Subtly charming coffee ninja. Incurable web practitioner. Travel evangelist. Hardcore music nerd. Devoted bacon maven.,0,0,2,2,3,8,9
12,Coffeeaholic. Entrepreneur. Explorer. Internet maven. Twitter evangelist. Alcohol geek.,1,6,4,4,0,1,3
13,Pop culture trailblazer. Zombie nerd. Travel specialist. Foodaholic. Total student. Twitter buff.,2,2,2,1,2,4,7
14,Travel buff. Student. Alcohol trailblazer. Passionate social media ninja. Entrepreneur. Incurable writer.,0,4,3,9,6,4,5
15,Avid pop culture fanatic. Social media enthusiast. Incurable introvert. Typical web maven. Reader.,6,9,0,3,0,6,2
16,Amateur alcohol practitioner. Food nerd. Proud analyst. Beer guru. Award-winning coffee fanatic. Organizer.,9,1,5,1,6,3,1
17,Beer practitioner. Coffee expert. Tv guru. Social media junkie. Bacon enthusiast. General student. Food nerd.,1,4,8,1,3,5,3
18,Gamer. Twitter fan. Amateur entrepreneur. Writer. Falls down a lot. Passionate music enthusiast. Freelance analyst.,2,9,3,6,6,2,9
19,Web guru. Extreme internet aficionado. Subtly charming travel maven. Food nerd. Friend of animals everywhere. Devoted pop culture fanatic.,6,5,2,4,8,8,5
20,Zombie ninja. Extreme pop culture nerd. Infuriatingly humble alcohol fanatic. Music junkie. Professional analyst.,8,6,9,6,4,3,1
21,Entrepreneur. Friendly zombie aficionado. Organizer. Passionate coffee geek. Avid introvert. Pop culture trailblazer.,6,5,8,5,7,9,8
22,Lifelong coffee expert. Friendly twitter practitioner. General internet geek. Food nerd. Pop culture fanatic. Thinker.,2,3,0,9,3,6,1
23,Lifelong internet fanatic. Hardcore problem solver. Total entrepreneur. Extreme food geek. Twitter aficionado.,0,0,8,3,5,7,4
24,Zombieaholic. Lifelong music junkie. Writer. Devoted communicator. General pop culture fan. Unapologetic gamer.,8,9,1,4,8,0,7
25,Bacon geek. Freelance food aficionado. Devoted internet fanatic. Explorer. Friendly music trailblazer. Incurable beer buff.,0,1,4,1,5,7,3
26,Devoted alcohol geek. Problem solver. General analyst. Award-winning bacon specialist. Friendly twitter aficionado.,1,9,7,5,1,9,1
27,Gamer. Certified thinker. Reader. Music maven. Total social media geek. Introvert. Typical problem solver. Award-winning explorer.,4,1,6,9,5,4,3
28,Lifelong coffee fanatic. Devoted travel enthusiast. Introvert. Troublemaker.,1,4,3,3,2,3,2
29,Amateur twitter expert. Certified travel nerd. Music buff. Proud zombie geek. Beer advocate.,4,0,9,2,5,5,8
30,Hipster-friendly coffeeaholic. Passionate travel scholar. Amateur alcohol guru. Zombie buff. Proud beer expert.,0,6,8,0,1,9,5
31,Music evangelist. Wannabe troublemaker. Alcohol junkie. Lifelong twitter geek. Typical web trailblazer. Internet practitioner.,2,2,7,5,4,6,2
32,Internet advocate. General reader. Passionate entrepreneur. Infuriatingly humble food lover.,1,4,2,1,7,0,3
33,Professional thinker. Award-winning alcohol expert. Zombie nerd. Coffee scholar. Entrepreneur. Evil tv specialist.,7,1,2,8,3,2,2
34,Zombie practitioner. Coffee buff. Total travel nerd. Music aficionado. Devoted alcohol expert.,9,7,8,7,7,7,1
35,Friendly writer. Introvert. Wannabe beer trailblazer. Zombie fanatic. Creator. Organizer.,7,5,4,6,0,3,0
36,Wannabe food trailblazer. Evil introvert. Student. Alcohol maven. Travel advocate. Troublemaker.,2,6,2,1,8,1,9
37,Friendly introvert. Troublemaker. Subtly charming alcohol specialist. Gamer. Analyst. Writer.,6,3,7,7,9,7,9
38,Unapologetic travel lover. Amateur bacon fanatic. Zombie trailblazer. Typical tv nerd. Subtly charming alcohol fanatic. Hipster-friendly food scholar.,6,7,1,4,0,3,5
39,Unapologetic introvert. Award-winning beer specialist. Creator. Lifelong food junkie.,5,3,0,9,9,4,1
40,Travel nerd. Typical problem solver. Communicator. Entrepreneur. Pop culture ninja. Proud twitteraholic. Unapologetic web aficionado.,7,1,7,0,8,1,8
41,Total internet maven. Extreme beer geek. Music fanatic. Food ninja. Amateur communicator. Typical alcohol buff. Tv junkie.,9,4,8,5,7,7,9
42,Unapologetic pop culture specialist. Social mediaholic. Incurable web fanatic. Tv trailblazer. Zombie nerd. Twitter fan.,1,6,6,2,0,1,2
43,Explorer. Wannabe introvert. Pop culture enthusiast. Hardcore foodaholic. Student. Hipster-friendly gamer.,7,9,6,5,0,3,2
44,Lifelong zombie advocate. Certified pop cultureaholic. Communicator. Typical web guru. Coffee nerd.,0,9,0,2,2,2,8
45,Extreme reader. Bacon guru. Travel practitioner. Twitter maven. Thinker. Pop culture expert.,4,4,2,0,8,4,6
46,Explorer. Social media buff. Evil bacon nerd. Friendly zombie evangelist. Typical travel advocate.,4,9,7,6,0,6,2
47,Passionate bacon practitioner. Twitter nerd. Unable to type with boxing gloves on. Travel fanatic. Internet aficionado. Devoted coffee buff. Music lover.,5,7,0,4,8,0,9
48,Award-winning twitter buff. Subtly charming bacon maven. Friend of animals everywhere. Zombie geek.,1,3,3,8,4,4,4
49,Passionate thinker. Web buff. Devoted travel specialist. Evil food ninja. Freelance explorer. Reader. Amateur problem solver.,3,1,7,3,4,5,3
50,Zombie guru. Alcohol ninja. Student. Gamer. Evil travel fanatic. Twitter lover. Communicator. Troublemaker.,5,2,3,7,6,1,9
51,Subtly charming internet guru. Lifelong web nerd. Infuriatingly humble writer.,1,7,7,9,5,7,3
52,Problem solver. Internet evangelist. Devoted social media fanatic. Passionate twitter geek.,3,6,8,9,3,1,3
53,Troublemaker. Proud web guru. General communicator. Coffee expert.,7,4,3,9,0,1,5
54,Web maven. Beeraholic. Freelance music trailblazer. Tv fanatic. Lifelong internet geek.,5,2,8,8,8,8,1
55,Organizer. Hardcore web guru. Certified coffee ninja. Amateur explorer. Tv maven. Wannabe twitter practitioner. Food expert. Gamer.,6,9,3,9,0,1,9
56,Pop culture ninja. Avid reader. Food scholar. Internet fanatic. Analyst. Proud problem solver.,4,7,0,4,4,6,8
57,Proud tv scholar. Introvert. Organizer. Unapologetic web expert. Friendly beer geek.,4,2,5,6,7,4,7
58,Wannabe tv geek. Writer. Food maven. Entrepreneur. Introvert. Bacon evangelist. Internet scholar.,6,1,5,5,3,1,6
59,Social media guru. Pop culture trailblazer. Hardcore communicator. Entrepreneur.,1,3,0,0,9,3,3
60,Coffee fanatic. Analyst. Zombie fan. Pop culture expert. Internet lover. Web scholar. Writer. Freelance travel fanatic. Award-winning alcohol aficionado.,6,2,9,7,1,6,7
61,Gamer. Hipster-friendly music enthusiast. Tv fanatic. Total communicator. Unapologetic travel maven.,3,1,2,9,1,4,5
62,Professional twitter junkie. Travel advocate. Hardcore food aficionado. Explorer. Friendly coffee trailblazer. Reader.,6,4,9,2,1,2,9
63,Twitter specialist. Subtly charming alcohol evangelist. Freelance coffee scholar.,4,1,5,5,0,0,7
64,Friend of animals everywhere. Zombie lover. Bacon scholar. Evil food aficionado. Passionate problem solver.,6,6,1,3,1,0,0
65,Infuriatingly humble bacon guru. Incurable explorer. Food lover. Extreme travel evangelist.,8,9,4,3,5,8,4
66,Professional music scholar. Writer. Coffee lover. Twitter trailblazer. Incurable tv advocate. Bacon buff. Alcohol maven.,9,7,3,6,9,3,5
67,Infuriatingly humble music trailblazer. Hardcore food evangelist. Communicator. Total zombieaholic.,8,6,4,3,7,6,2
68,Prone to fits of apathy. Internet expert. Proud reader. Certified analyst. Friendly problem solver.,9,8,7,5,3,1,2
69,Music trailblazer. Introvert. Award-winning beer geek. Problem solver.,2,8,3,0,7,1,9
70,Beer trailblazer. Reader. Travel geek. Total student. Musicaholic. Freelance organizer. Food lover.,0,9,6,3,0,7,6
71,Bacon geek. Incurable beer expert. Organizer. Hipster-friendly pop culture evangelist. Hardcore tv fan. Devoted twitter lover.,2,2,3,7,4,0,3
72,Proud reader. Lifelong internet fan. Freelance food nerd. Web maven. General music junkie. Subtly charming thinker.,9,3,7,2,4,2,1
73,Problem solver. Web evangelist. Communicator. Alcohol lover. Total tv geek. Twitter expert. Future teen idol. Subtly charming travel buff.,5,7,2,8,3,0,1
74,Hardcore beer practitioner. Typical bacon evangelist. Certified social media buff.,3,7,8,2,1,0,7
75,Lifelong tv buff. Communicator. Hipster-friendly travel nerd. Problem solver. General creator.,0,0,9,2,7,7,1
76,Wannabe twitter aficionado. Pop culture nerd. Coffee maven. Devoted bacon scholar. Entrepreneur.,7,2,7,5,5,7,0
77,Total web expert. Incurable coffee aficionado. Music fanatic. Alcohol trailblazer. Avid introvert. Subtly charming twitter fan.,3,4,2,7,5,9,8
78,Incurable foodaholic. Freelance internet lover. Problem solver. Travel junkie. Avid bacon evangelist. Amateur pop culture nerd.,4,3,6,0,8,4,9
79,Lifelong communicator. Devoted coffeeaholic. Introvert. Typical reader.,5,8,6,3,5,0,7
80,Total zombie enthusiast. Devoted beer ninja. Tv fanatic. Lifelong web evangelist.,3,3,0,4,3,9,5
81,Award-winning pop culture lover. Internet advocate. Twitter fanatic. Analyst. Zombie practitioner.,3,1,8,9,0,8,4
82,Certified travel junkie. Gamer. Reader. Food maven. Extreme alcohol aficionado. Typical tv specialist.,1,6,3,0,0,0,0
83,Extreme travel practitioner. Gamer. Typical music buff. Food trailblazer. Beer lover. Bacon junkie.,9,3,5,8,9,1,5
84,Pop culture guru. Zombie maven. Twitteraholic. Coffee trailblazer. Problem solver.,4,1,7,1,5,5,4
85,Freelance social media nerd. Internet ninja. Introvert. Beer evangelist. Alcohol enthusiast. Bacon geek. Troublemaker.,2,8,2,5,4,9,1
86,Tv aficionado. Lifelong communicator. Travel ninja. Hardcore web buff. Typical music geek.,0,4,6,0,2,4,9
87,Devoted web maven. Friend of animals everywhere. Analyst. Freelance music buff. Bacon junkie.,0,9,5,2,7,2,0
88,Typical bacon aficionado. Internet guru. Food lover. Music enthusiast. Twitter geek. Social media ninja.,8,0,8,1,4,3,5
89,Introvert. Freelance music expert. Devoted social media advocate. Evil reader. Zombie fanatic. Professional analyst.,4,6,6,3,4,0,6
90,General reader. Incurable introvert. Internet junkie. Travelaholic. Food enthusiast. Web maven. Thinker. Tv nerd.,2,5,8,2,3,1,6
91,Problem solver. Troublemaker. Extreme reader. Bacon fanatic. Communicator. Award-winning gamer.,1,3,0,9,7,5,8
92,Entrepreneur. Communicator. Devoted baconaholic. Hipster-friendly internet specialist. Creator.,2,2,1,3,7,5,2
93,Twitter trailblazer. Internet maven. Incurable beeraholic. General pop culture specialist.,2,1,9,7,8,7,8
94,Music buff. Twitter evangelist. Unapologetic travel fanatic. Beer fan. Extreme food expert. Tv nerd. Pop culture lover.,5,2,5,5,3,9,6
95,Friendly beer maven. Coffee junkie. Award-winning bacon practitioner. Pop culture enthusiast.,8,1,9,0,5,2,2
96,Passionate music fanatic. Falls down a lot. Travel advocate. Pop culture lover. Twitter practitioner.,0,7,8,6,0,5,0
97,Thinker. Lifelong travelaholic. Alcohol enthusiast. Incurable social media lover. Communicator.,5,8,2,8,0,9,8
98,Freelance thinker. Amateur music trailblazer. Travel practitioner. Coffee junkie. Pop culture scholar. Evil webaholic.,9,7,2,3,1,1,6
